"Enddatetime","TimerName","UserName","Event_ID"
"26/10/2016 21:25:01","USR:PWR-SHOW VIEW","VPONNEQUIN",1397
"26/10/2016 21:25:23","USR.PWR.CPSUIALLERGY.ALLERGY REVERSE CHECK","LLOCKE",725
"26/10/2016 21:26:08","USR:ORM.BUILDSDL","LLOCKE",798
"26/10/2016 21:26:52","USR:ORM.RETRIEVEERXREVIEWSCREENNEWRX","LLOCKE",822
"26/10/2016 21:27:51","USR:MPG.NEW_ORDER_ENTRY.O1 - LOAD COMPONENT","LLOCKE",782
"26/10/2016 21:28:16","CKPT:WINDOWSSESSIONMONITOR-ALL","VPONNEQUIN",1294
"26/10/2016 21:34:24","USR:ORM.BUILDSDL","VPONNEQUIN",1355
"26/10/2016 21:34:42","USR:PWR-SWITCHFRAME","LLOCKE",850
"26/10/2016 21:34:53","USR:PWR-SHOW VIEW","LLOCKE",849
"26/10/2016 21:35:13","USR:MPG.VITALSIGNS.WF - LOAD COMPONENT","LLOCKE",793
"26/10/2016 21:35:58","USR:MPG.DOCUMENTATION_PE.O1 - LOAD COMPONENT","LLOCKE",770
"26/10/2016 21:39:00","CAP:ORM.USEPRINTERASBACKUPROUTING","BMOORE005",227
"26/10/2016 21:39:20","USR:MPG.DOCUMENTS.O2 - LOAD COMPONENT","LLOCKE",772
"26/10/2016 21:41:00","USR:ORM.SIGNORDERS-NONMEDDUPCHECKDLGONCREATE","BMOORE005",325
"26/10/2016 21:41:00","CAP:ORM.SIGNENCOUNTERDIAGNOSES","BMOORE005",225
"26/10/2016 21:41:37","USR:MPG.CONSOL_PROB.O2 - LOAD COMPONENT","LLOCKE",765
"26/10/2016 21:44:39","USR:MPG.DOCUMENTATION_HPI.O1 - LOAD COMPONENT","VPONNEQUIN",1332
"26/10/2016 21:44:42","USR:MPG.REMINDERS.O2 - LOAD COMPONENT","VPONNEQUIN",1349
"26/10/2016 21:45:34","CAP:MPG DETAILED REVIEW SUBSECTION - CLICK NAVIGATOR LINK","LLOCKE",689
"26/10/2016 21:45:34","USR:MPG.CUSTOM_COMP.O1 - LOAD COMPONENT","LLOCKE",767
"26/10/2016 21:46:01","USR:PWR-SWITCHFRAME","LLOCKE",850
"26/10/2016 21:47:08","CAP:MPG DETAILED REVIEW SUBSECTION - CLICK NAVIGATOR LINK","LLOCKE",689
"26/10/2016 21:49:18","CAP:MPG LAUNCH MPAGE","LLOCKE",691
"26/10/2016 21:49:18","USR:MPG.ORDERSELECTION.O2 - LOAD COMPONENT","LLOCKE",786
"26/10/2016 21:49:19","USR:MPG.ORDERSELECTION.O2 - LOAD COMPONENT","LLOCKE",786
"26/10/2016 21:49:32","USR: DYNDOC EXECUTE AUTOTEXT DOCUMENT","VPONNEQUIN",1309
"26/10/2016 21:49:46","USR:MPG.DOCUMENTATION_HPI.O1 - LOAD COMPONENT","BMOORE005",271
"26/10/2016 21:49:50","USR:PWR-SWITCHFRAME","LLOCKE",850
"26/10/2016 21:49:50","USR:MPG.DOCUMENTATION_PE.O1 - LOAD COMPONENT","BMOORE005",272
